,endTime,artistName,trackName,msPlayed,UniqueID,InLibrary,album,track_uri
0,2022-05-18 16:39,Indila,Love Story,180104,Indila:Love Story,1,Mini World,6nGeLlakfzlBcFdZXteDq7
1,2022-05-19 04:55,Indila,Love Story,316280,Indila:Love Story,1,Mini World,6nGeLlakfzlBcFdZXteDq7
2,2022-05-19 05:01,Taylor Swift,my tears ricochet,6225,Taylor Swift:my tears ricochet,1,folklore,1DnpjwTbSwV2V6O4PABMjW
3,2022-05-19 05:01,Paloma Faith,Only Love Can Hurt Like This,232893,Paloma Faith:Only Love Can Hurt Like This,1,A Perfect Contradiction,62ke5zFUJN6RvtXZgVH0F8
4,2022-05-19 05:06,Conan Gray,Memories,248818,Conan Gray:Memories,1,Memories,7AYP21Q4qnxw2WxETEvSRb
5,2022-05-19 05:09,Charlie Puth,Cheating on You,196606,Charlie Puth:Cheating on You,1,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq
6,2022-05-19 05:10,Jorja Smith,Don't Watch Me Cry,21878,Jorja Smith:Don't Watch Me Cry,1,Lost & Found,202lm9YX5WmAac83tOGlVn
7,2022-05-19 05:14,Tove Lo,Cool Girl,199179,Tove Lo:Cool Girl,0,,
8,2022-05-19 05:18,Daya,New,230879,Daya:New,0,,
9,2022-05-19 05:22,The Weeknd,Die For You,166140,The Weeknd:Die For You,0,,
10,2022-05-19 05:25,Chase Atlantic,Swim,148021,Chase Atlantic:Swim,0,,
11,2022-05-19 05:27,Conan Gray,People Watching,158536,Conan Gray:People Watching,0,,
12,2022-05-19 05:32,Far Caspian,A Dream of You,258000,Far Caspian:A Dream of You,0,,
13,2022-05-19 05:45,Blue Dahlia,1995,149140,Blue Dahlia:1995,1,1995,2AjLglUo6dT2WvXwACfsEL
14,2022-05-19 10:17,Troye Sivan,Angel Baby - Acoustic,26350,Troye Sivan:Angel Baby - Acoustic,1,Angel Baby,0hgX5eAmzQZTD2zTnXnSdB
15,2022-05-19 10:21,Troye Sivan,Angel Baby,220779,Troye Sivan:Angel Baby,0,,
16,2022-05-19 10:23,SEVENTEEN,Darl+ing,45400,SEVENTEEN:Darl+ing,1,Darl+ing,6vo0dV9t7PCQZKsLFwVwZ5
17,2022-05-19 10:25,LE SSERAFIM,FEARLESS,69320,LE SSERAFIM:FEARLESS,0,,
18,2022-05-19 11:00,Jessi,ZOOM,307490,Jessi:ZOOM,1,,
19,2022-05-19 15:02,Indila,Love Story,235984,Indila:Love Story,1,Mini World,6nGeLlakfzlBcFdZXteDq7
20,2022-05-19 15:23,Pritam,Shayad,233304,Pritam:Shayad,0,,
21,2022-05-20 14:56,Lauv,All 4 Nothing (I'm So In Love),182506,Lauv:All 4 Nothing (I'm So In Love),1,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5
22,2022-05-20 15:05,Troye Sivan,Angel Baby,208760,Troye Sivan:Angel Baby,0,,
23,2022-05-20 15:09,Daya,New,208387,Daya:New,0,,
24,2022-05-20 15:58,Ariana Grande,"break up with your girlfriend, i'm bored",66945,"Ariana Grande:break up with your girlfriend, i'm bored",0,,
25,2022-05-21 08:55,Harry Styles,Satellite,214864,Harry Styles:Satellite,0,,
26,2022-05-21 09:07,Yerin Baek,혼자 두지 마 Don't leave me alone,48400,Yerin Baek:혼자 두지 마 Don't leave me alone,1,FRANK,4aDtcFPvjKpywRG8AYhC0C
27,2022-05-21 13:18,Lauv,All 4 Nothing (I'm So In Love),182506,Lauv:All 4 Nothing (I'm So In Love),1,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5
28,2022-05-21 13:19,Indila,Love Story,26644,Indila:Love Story,1,Mini World,6nGeLlakfzlBcFdZXteDq7
29,2022-05-21 13:23,MARINA,Primadonna,18580,MARINA:Primadonna,1,Electra Heart,4sOX1nhpKwFWPvoMMExi3q
30,2022-05-21 13:23,Paloma Faith,Only Love Can Hurt Like This,231560,Paloma Faith:Only Love Can Hurt Like This,1,A Perfect Contradiction,62ke5zFUJN6RvtXZgVH0F8
31,2022-05-21 13:24,mehro,hideous,88580,mehro:hideous,1,SKY ON FIRE,0c0uFehhA1ekbQmqZ0HKeb
32,2022-05-21 13:24,Sasha Alex Sloan,I Blame The World,1368,Sasha Alex Sloan:I Blame The World,1,I Blame The World,3SrSjUKxAJ6Cq1vpe1mqCZ
33,2022-05-21 13:25,Cigarettes After Sex,Sweet,6318,Cigarettes After Sex:Sweet,1,Cigarettes After Sex,3VSYkAf6f46i5ZkXOHORq1
