,track_uri,artist_uri,genres
0,5SifNhmUO8iSEoWFQU8kxH,1W7FNibLa0O0b572tB2w7t,['bedroom soul']
1,51CWs8Gipl0UqDGNA5xekm,6RKnXXyprPjhBdCvL802Ku,"['k-pop', 'k-pop girl group', 'k-pop reality show']"
2,2oLLOxkJWJj9BbrsTc4Xql,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
3,2k5PT7lJxuJ1prVA5R3C5x,0u6eb1GGNOFsAuA4znLlRV,['korean superband']
4,0tdMBJmUaobBXpttiycchZ,0fwfMuz3AmWRy2pyM5fDRo,"['k-pop', 'korean pop']"
5,6DefzsWqnwrFrmNVnJxWkS,1ZChN8G1Y7CJ0TXbrvblwS,"['pakistani pop', 'sufi']"
6,60zxdAqWtdDu0vYsbXViA7,7n2Ycct7Beij7Dj7meI4X0,"['k-pop', 'k-pop girl group', 'pop']"
7,3rWDp9tBPQR9z6U5YyRSK4,06HL4z0CvFAxyc27GXpf02,['pop']
8,0TxSk5fpK01cBLV9ePqcE6,5na1LmEmK2VzNLje9snJYW,"['k-pop', 'k-pop boy group']"
9,6S6B7Tst3Gn7FGfiY0oUH4,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
10,4clY5A2sGpM1F68aid5LVN,4fgfmrBHIWsUuHxeOPhv61,['korean pop']
11,1UTTbArdZ8Z7cBaAbDBAjK,4xnihxcoXWK3UqryOSnbw5,['alt z']
12,5hQSXkFgbxjZo9uCwd11so,06HL4z0CvFAxyc27GXpf02,['pop']
13,3v5o91PrUtf0nmO6j8J7dZ,0LOK81e9H5lr61HlGGHqwA,['k-pop girl group']
14,6L4F4btXioJPhEwz6T7YYt,4rTv3Ejc7hKMtmoBOK1B4T,['canadian hip hop']
15,67co9ZN8NRGnB7tiaF8yen,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']"
16,23EXCgTa99RN6b3KwtkodK,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
17,6nat4Z7iRKWVk1qngQqI0Q,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
18,4h5x3XHLVYFJaItKuO2rhy,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']"
19,2KnLkZ3z7PO3kgVGHGqDpD,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
20,57sk9X1fPLXRfkw74XNrmK,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']"
21,3dvPPS5KXskeRbrSY80gwt,2l9aF9jOgB7GI1uyNkx836,"['k-pop', 'korean ost']"
22,4pvb0WLRcMtbPGmtejJJ6y,06HL4z0CvFAxyc27GXpf02,['pop']
23,4koDrJbYxIlcDY4gu2a4I8,4TnGh5PKbSjpYqpIdlW5nz,"['k-pop', 'k-pop boy group']"
24,6SRsiMl7w1USE4mFqrOhHC,1McMsnEElThX1knmY4oliG,['pop']
25,6weZUHvzzpeqD1HeBRZQJ4,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
26,38L75iLo6muLlApdRHwCGO,1EevBGfUh3RSQSGpluxgBm,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter']"
27,1ugQtcwmKOXvKAYzhjncmv,3QSQFmccmX81fWCUSPTS7y,"['australian pop', 'singer-songwriter pop']"
28,55qqNyvwWUn1A3ItPVUOoo,2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'k-pop boy group', 'pop']"
29,73TM9iCEp8VtKZNXZADbQb,1gBUSTR3TyDdTVFIaQnc02,"['k-pop', 'k-pop boy group']"
30,3AuVZyDw1VhjjLfHZR4ba3,1EevBGfUh3RSQSGpluxgBm,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter']"
31,2TxCwUlqaOH3TIyJqGgR91,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']"
32,5HaYRuf3zAfCb8RSO9LLea,70DFixYAFPv4Pf9kgSfR9O,[]
33,3Y7MHz19qCg1Pkxridtu1k,06HL4z0CvFAxyc27GXpf02,['pop']
34,6gESAvKwozY2QAQvq7n3RY,1wsoV3RXPkxVz3PwsNRI5K,['k-rap']
35,4aceMabp5rzZYoKKXsUffr,5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']"
36,630sXRhIcfwr2e4RdNtjKN,6U1dBXJhC8gXFjamvFTmHg,"['hollywood', 'movie tunes', 'post-teen pop']"
37,1almCHdsfikRPfVB9VrEdT,58MLl9nC29IXbE4nEtuoP2,"['pop', 'post-teen pop']"
38,1G66wcWX7s5YH0Wh5S7Hyc,4sbcjbyksdT4dJ5Lh0SvZp,"['classical', 'impressionism', 'post-romantic era']"
39,2zlgwqw8BLX2JGB76LIFeF,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
40,4Of7rzpRpV1mWRbhp5rAqG,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']"
41,7iAqvWLgZzXvH38lA06QZg,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']"
42,2Oj5hRhkJH00VGzjBdQNq3,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
43,6fTt0CH2t0mdeB2N9XFG5r,7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop']
44,5ZQFP6rsYhNaFuQNaoTzgV,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
45,7lPN2DXiMsVn7XUKtOW1CS,1McMsnEElThX1knmY4oliG,['pop']
46,6RTF5urAOB5C52nLxeRK5h,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
47,3kHTeY85lTphKnBVXdX1Tz,68KmkJeZGfwe1OUaivBa2L,"['k-pop', 'k-pop boy group']"
48,3P3UA61WRQqwCXaoFOTENd,3HqSLMAZ3g3d5poNaI7GOU,"['k-pop', 'pop']"
49,0HaRLPnr887lcQM2YQzkff,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
50,22ryCgQttpV7oCrn7llGRu,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
51,3ZCTVFBt2Brf31RLEnCkWJ,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']"
52,2kyVQg00pphEufGT59M2XH,1eEfMU2AhEo7XnKgL7c304,"['adult standards', 'mellow gold', 'soft rock']"
53,0BiJCg7FLwWGTYLEsnaHcz,3qNVuliS40BLgXGxhdBdqu,['k-pop']
54,7BpqydHSxMviDR0DNTne6J,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']"
55,4mQMvcRtQou5yI8mjuJ1lf,1kfWoWgCugPkyxQP8lkRlY,['k-pop']
56,7ILEWkpfdK6AjH2D7jppWk,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']"
57,0LqCvXVNvcnkq78sCQsoO0,3pc0bOVB5whxmD50W79wwO,['chill r&b']
58,6IF2P93LkyW4GqDQu1yS7H,6zDFhpdu4WUVVGTz0JSLMh,"['acoustic pop', 'oth indie']"
59,39HrUxcvKF3jtLz7fUDWXc,7lbSsjYACZHn1MSDXPxNF2,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']"
60,1MmSeZ1Q4yd3LoZv7RXmWe,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
61,3JaMGQXJmtbAhvgl0nBPPN,0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']"
